#{"t_start": 1763328620.2296972, "env_id": "GridWorldMoving-v0"}
r,l,t
-197.0,59,21.899591
29.0,2,21.901591
-96.0,37,21.925589
-36.0,17,21.936601
-5.0,10,21.9426
9.0,7,21.948115
-22.0,9,21.95318
-17.0,14,21.963179
4.0,7,21.967453
17.0,6,21.971452
-58.0,21,22.081376
-23.0,16,22.094038
-38.0,21,22.107557
26.0,3,22.109556
-104.0,28,22.128933
-65.0,25,22.149066
-33.0,21,22.164511
5.0,5,22.168729
-93.0,31,22.193409
-279.0,78,22.243485
-10.0,10,22.249998
-37.0,14,22.342561
-19.0,13,22.351068
15.0,5,22.354161
-122.0,39,22.378639
-10.0,10,22.385731
23.0,4,22.38874
-124.0,33,22.409064
-146.0,42,22.436149
-34.0,23,22.449686
-24.0,18,22.461685
-47.0,24,22.476687
-64.0,23,22.491682
29.0,2,22.492682
24.0,2,22.494681
-31.0,12,22.596268
-53.0,21,22.610842
-51.0,22,22.625532
21.0,3,22.627532
15.0,5,22.630798
-27.0,14,22.640026
-59.0,18,22.651937
-41.0,22,22.667675
-25.0,15,22.676674
-1.0,7,22.682493
-11.0,7,22.687491
-131.0,42,22.714296
6.0,8,22.720294
-127.0,34,22.742413
29.0,2,22.743763
2.0,6,22.74777
12.0,6,22.751776
-49.0,18,22.763777
-92.0,34,22.869788
-100.0,25,22.885787
-60.0,30,22.905112
-188.0,56,22.941479
-25.0,15,22.952166
13.0,4,22.954165
-103.0,36,22.978468
-18.0,16,22.989467
-51.0,17,23.000465
-78.0,26,23.10626
-18.0,16,23.116256
-7.0,9,23.122256
-18.0,11,23.129257
-21.0,17,23.140626
2.0,11,23.148141
-18.0,11,23.155147
12.0,6,23.159146
-31.0,12,23.167145
-27.0,14,23.176145
-2.0,9,23.181152
-152.0,44,23.210157
-2.0,9,23.215203
-64.0,28,23.233215
-3.0,11,23.240214
-182.0,49,23.354064
-33.0,16,23.364487
-21.0,17,23.37549
-19.0,13,23.384486
26.0,3,23.386485
-90.0,30,23.405509
29.0,2,23.406509
3.0,9,23.412512
-415.0,100,23.478404
-54.0,18,23.490402
17.0,6,23.494402
-1.0,7,23.498404
8.0,9,23.504401
-62.0,24,23.607928
-57.0,24,23.622927
-92.0,29,23.641929
-28.0,16,23.652445
-39.0,18,23.664461
-56.0,22,23.678463
-164.0,53,23.715136
-64.0,23,23.730618
16.0,3,23.732624
-33.0,21,23.747144
-31.0,17,23.758222
29.0,2,23.759222
-43.0,21,23.773229
23.0,4,23.776228
-21.0,17,23.878035
32.0,1,23.879036
-16.0,12,23.887034
-21.0,12,23.895033
29.0,2,23.897035
-1.0,12,23.904033
7.0,6,23.908033
-104.0,33,23.930034
-55.0,25,23.947545
0.0,10,23.954549
-37.0,19,23.966548
-151.0,52,23.999545
-51.0,17,24.010564
29.0,2,24.012563
17.0,6,24.016608
-28.0,16,24.026616
-1.0,12,24.034729
-131.0,47,24.157
-6.0,12,24.166664
32.0,1,24.167664
-168.0,46,24.197066
20.0,5,24.200066
12.0,6,24.2056
-207.0,59,24.246613
-42.0,19,24.258134
2.0,6,24.262136
-36.0,17,24.273222
17.0,6,24.277221
2.0,11,24.284221
-34.0,18,24.296219
-35.0,15,24.415228
-38.0,21,24.428482
-24.0,13,24.437488
26.0,3,24.439486
29.0,2,24.440485
9.0,7,24.444996
21.0,3,24.445993
-20.0,15,24.455049
18.0,4,24.457049
26.0,3,24.459052
21.0,3,24.461049
-65.0,25,24.478396
-1.0,7,24.482394
-152.0,44,24.512574
